insolation,Temperature_MAX,Relative_Humidity,Precipitation,Specific_Humidity
6.47,38.4,61.93,0.44,16.96
6.51,36.88,62.52,1.36,16.84
6.54,36.74,65.41,0.4,17.31
6.3,37.81,63.52,0.53,17.39
6.31,37.23,65.82,0.7,18.27
6.47,36.15,69.21,0.21,18.84
6.45,37.67,66.56,0.09,18.65
6.56,38.57,63.52,0.09,18.29
6.5,38.27,60.65,0.11,17.35
7.14,39.57,48.09,0.05,13.83
6.96,38.97,51.27,0.0,14.12
6.95,37.27,59.41,0.0,15.54
6.88,36.92,58.88,0.0,15.06
6.94,36.43,60.44,0.0,15.38
6.66,37.07,60.35,0.78,15.91
5.64,34.52,71.54,5.64,18.43
6.61,35.74,68.55,1.13,18.33
6.61,35.23,70.96,3.4,19.06
6.81,37.95,67.29,3.48,18.91
6.79,38.99,62.71,0.78,18.51
5.23,40.22,58.71,0.27,17.98
6.37,39.93,57.94,0.22,17.45
6.99,40.84,54.81,0.25,16.89
7.13,41.45,48.65,0.07,15.2
6.87,41.18,47.26,0.04,14.56
6.65,39.13,57.26,0.03,17.08
6.99,40.21,52.53,0.02,16.05
6.49,39.53,56.91,0.03,17.04
6.81,39.04,58.05,0.06,17.28
5.15,35.94,62.72,0.39,17.48
6.64,37.97,56.51,0.75,16.28
6.8,39.34,54.65,0.22,16.32
6.7,40.76,52.2,0.19,16.25
6.58,41.08,52.06,0.08,16.3
6.56,39.36,58.12,1.79,17.59
6.48,39.27,56.0,2.03,16.74
6.68,38.25,58.25,1.63,17.25
5.6,35.56,65.73,7.69,18.22
5.59,34.21,72.77,11.49,19.01
6.32,37.41,62.64,1.39,17.64
6.7,38.23,61.26,1.68,17.76
6.68,40.15,58.43,2.67,18.11
6.82,39.66,61.74,2.0,19.1
6.77,40.23,61.75,1.82,19.73
6.41,39.14,65.04,2.25,20.62
6.51,37.98,66.96,0.8,20.85
5.81,36.11,70.25,2.6,21.13
6.71,34.62,69.7,2.78,19.97
6.74,39.16,58.23,0.88,18.22
6.78,36.76,65.8,4.1,19.57
6.67,37.34,66.56,0.77,20.01
6.71,35.65,72.39,1.89,20.94
6.58,36.34,69.64,2.29,20.33
6.72,37.65,63.74,2.11,19.17
6.53,37.56,62.15,1.08,18.76
5.71,34.61,70.82,1.42,19.85
5.98,36.3,61.15,1.14,17.88
5.8,39.29,54.76,0.89,17.31
6.31,40.34,53.81,2.42,18.22
5.73,37.97,59.75,5.73,19.16
6.09,36.74,67.96,5.29,20.63
3.21,35.61,70.48,3.35,20.67
5.58,35.02,72.83,4.48,21.15
6.61,40.36,59.64,2.24,19.89
5.39,38.35,61.88,4.36,19.56
4.16,33.57,75.09,6.05,21.01
5.38,35.94,62.09,0.49,18.03
5.12,37.55,57.2,0.28,17.33
4.57,35.65,62.44,1.49,18.29
3.44,32.04,78.13,10.3,20.28
2.4,32.28,78.2,5.55,20.38
4.04,32.51,75.93,9.84,20.17
3.57,31.61,76.32,1.36,20.24
5.16,33.13,77.63,12.14,20.68
4.31,31.81,85.26,17.96,21.57
1.92,31.61,80.79,5.42,20.48
5.94,35.6,69.01,1.08,19.21
6.05,36.51,68.59,1.04,20.13
5.21,33.68,72.43,2.84,20.15
3.42,31.81,81.78,16.6,21.21
3.65,31.23,83.31,8.03,20.79
2.04,31.84,80.03,10.25,20.29
6.37,31.36,80.26,8.83,20.13
1.34,30.58,85.29,25.68,20.65
2.73,31.87,83.23,14.14,20.56
1.61,32.04,81.98,3.56,20.68
2.01,31.66,81.48,5.2,20.36
3.01,31.42,82.02,12.04,20.48
3.63,31.82,81.3,2.43,20.23
2.82,31.83,84.27,9.24,21.35
0.34,31.75,83.85,14.66,21.03
3.47,32.39,80.95,2.57,20.46
2.37,33.07,78.33,3.56,20.33
3.73,32.85,78.9,3.63,20.38
1.84,34.06,75.39,1.97,20.16
2.98,31.61,79.4,5.0,20.09
2.84,32.14,81.87,10.3,20.57
3.66,32.66,81.52,9.11,20.7
4.13,32.07,82.51,8.25,20.98
4.78,31.06,86.95,24.29,21.63
3.86,30.04,86.5,6.82,20.79
3.59,30.62,84.99,9.89,20.15
3.4,30.23,84.69,19.53,19.87
3.6,31.63,84.44,15.29,20.4
4.01,30.75,85.26,6.66,20.5
2.4,30.85,87.22,45.05,21.05
3.56,30.71,89.43,23.14,21.55
3.81,30.82,90.09,19.8,21.98
2.91,30.53,85.58,15.87,20.9
4.03,30.94,86.1,72.8,21.24
3.37,30.35,90.49,47.09,22.11
1.48,29.65,91.32,13.11,22.11
1.06,29.36,91.11,15.88,21.74
0.97,29.48,90.05,11.44,21.51
3.69,30.78,86.19,3.82,20.73
2.84,30.51,86.24,4.12,20.9
2.49,30.3,87.8,1.6,21.13
5.08,30.58,86.52,2.4,20.87
4.34,31.28,86.21,4.07,21.06
3.44,29.83,88.03,7.1,20.75
4.97,29.64,88.39,8.04,20.73
4.52,31.81,85.31,5.42,21.28
4.18,30.59,88.69,5.14,21.62
3.99,30.25,88.54,5.76,21.38
2.77,30.35,87.92,17.14,20.99
1.94,30.39,87.17,10.67,20.84
5.02,31.34,85.11,5.78,20.98
3.99,30.93,87.61,9.44,21.56
4.79,31.42,86.12,13.83,21.32
5.66,30.74,86.68,4.34,21.15
4.9,30.67,86.38,6.45,21.02
3.87,31.22,87.03,5.8,21.3
3.8,29.91,89.96,7.74,21.4
4.59,29.36,87.28,5.35,20.13
4.03,30.37,86.12,5.18,20.2
3.78,31.14,86.06,2.07,20.8
4.48,30.18,85.01,7.7,20.25
2.23,28.95,89.22,30.96,20.26
3.32,30.05,87.77,8.36,20.6
4.79,29.59,87.82,8.34,20.16
4.91,29.4,88.12,4.09,19.73
5.3,30.47,86.5,2.2,20.14
4.66,31.37,83.51,0.66,19.9
4.91,31.66,82.13,2.04,20.09
3.79,30.42,86.75,12.99,20.7
3.19,30.88,85.25,2.85,20.75
4.14,31.31,85.36,4.75,21.2
1.71,29.49,89.63,35.91,21.2
3.66,28.59,89.97,24.75,20.83
1.54,28.8,90.06,14.54,20.82
5.04,30.77,86.23,1.86,20.62
4.81,29.65,90.0,18.92,21.24
4.47,29.27,90.64,23.5,21.17
1.88,29.37,89.63,8.9,20.48
6.0,30.87,85.39,1.85,20.48
5.81,32.1,82.08,0.34,20.25
5.51,31.48,84.98,1.02,21.1
5.41,30.57,89.15,1.26,21.58
4.49,29.77,89.62,1.35,21.16
5.73,29.74,89.15,0.68,20.96
4.87,30.03,88.38,0.77,20.9
5.56,30.64,87.68,1.05,20.77
4.4,29.85,88.26,1.5,20.6
5.01,28.37,91.95,8.27,20.66
5.52,29.26,88.48,7.02,20.04
5.76,28.54,89.85,17.66,20.05
5.14,30.04,85.68,6.95,20.09
4.79,31.26,84.89,2.76,20.5
4.67,30.84,86.79,4.96,20.96
0.67,30.82,83.16,23.19,19.78
2.31,29.31,89.45,17.72,20.49
2.77,30.19,88.38,4.01,20.66
4.52,29.79,89.28,3.39,20.98
5.17,30.44,87.34,1.29,20.52
5.41,31.61,85.16,0.68,20.72
5.66,30.41,86.02,5.28,20.67
5.22,30.46,84.76,3.7,20.26
5.21,30.41,85.6,6.37,20.48
3.49,30.0,86.78,6.17,20.32
4.68,28.54,87.98,29.21,19.55
3.65,30.15,84.32,14.26,19.39
2.0,29.39,89.09,28.84,20.36
3.47,29.2,86.82,6.63,19.78
2.66,29.14,89.47,8.35,20.16
3.07,29.06,88.9,8.09,20.06
4.56,30.16,86.15,1.2,19.83
2.99,29.62,88.58,5.82,20.23
1.35,27.5,92.1,37.67,19.75
4.58,28.6,90.08,12.12,19.84
2.73,29.59,88.55,6.18,20.07
5.01,28.82,90.67,25.02,20.23
3.76,29.85,87.55,3.34,20.22
4.88,30.73,86.38,1.27,20.1
5.16,30.54,87.59,0.15,20.25
5.28,30.49,86.33,0.07,20.06
4.81,31.07,82.16,0.38,19.42
5.51,31.97,80.06,0.07,19.5
5.73,31.5,81.01,0.01,19.15
5.84,30.5,81.9,0.0,17.92
3.63,29.69,88.83,12.39,19.37
0.75,28.07,94.76,62.09,21.18
1.21,27.41,91.96,67.74,19.8
4.68,30.41,86.96,3.34,19.81
5.2,30.81,80.72,0.83,18.76
5.39,31.03,72.78,0.0,16.4
4.99,31.15,76.55,0.0,16.89
4.98,30.73,74.78,0.04,16.47
5.16,30.34,72.29,0.04,15.5
5.2,29.35,79.44,0.01,16.55
5.15,29.62,69.58,0.0,14.73
4.99,29.57,65.72,0.0,13.62
5.07,28.69,70.97,0.03,14.19
5.28,28.11,73.78,0.0,13.78
4.87,27.28,80.2,0.0,14.02
5.22,27.29,79.76,0.0,13.87
5.13,27.44,78.18,0.0,13.58
4.89,28.4,84.04,0.0,15.35
4.97,28.74,80.3,0.0,15.68
5.02,28.92,81.17,0.0,15.94
5.05,28.64,79.6,0.0,15.23
4.99,28.25,76.21,0.0,14.35
4.89,27.73,73.79,0.0,13.63
4.82,27.35,73.7,0.0,12.91
4.49,27.28,77.12,0.0,13.21
4.41,27.71,78.4,0.01,13.95
4.69,27.59,81.85,0.01,14.63
1.89,25.84,89.35,6.79,15.48
0.68,23.18,94.5,59.49,15.6
1.34,25.35,94.03,15.71,16.48
1.9,26.13,92.97,12.74,16.89
2.11,29.04,88.02,4.14,17.81
2.51,29.01,84.47,0.75,17.59
4.09,28.65,83.26,0.32,16.51
4.53,27.68,77.96,0.0,13.88
4.49,26.52,71.91,0.0,11.77
